provider,region,code,date,measure,value
Brighton and Sussex University Hospitals NHS Trust,South East of England Commissioning Region,RXH,2018-12-21,Delay 30-60 mins,35
Buckinghamshire Healthcare NHS Trust,South East of England Commissioning Region,RXQ,2018-12-21,Delay 30-60 mins,0
Dartford and Gravesham NHS Trust,South East of England Commissioning Region,RN7,2018-12-21,Delay 30-60 mins,0
East Kent Hospitals University NHS Foundation Trust,South East of England Commissioning Region,RVV,2018-12-21,Delay 30-60 mins,0
East Sussex Healthcare NHS Trust,South East of England Commissioning Region,RXC,2018-12-21,Delay 30-60 mins,6
Frimley Health NHS Foundation Trust,South East of England Commissioning Region,RDU,2018-12-21,Delay 30-60 mins,0
Hampshire Hospitals NHS Foundation Trust,South East of England Commissioning Region,RN5,2018-12-21,Delay 30-60 mins,15
Isle of Wight NHS Trust,South East of England Commissioning Region,R1F,2018-12-21,Delay 30-60 mins,0
Maidstone and Tunbridge Wells NHS Trust,South East of England Commissioning Region,RWF,2018-12-21,Delay 30-60 mins,20
Medway NHS Foundation Trust,South East of England Commissioning Region,RPA,2018-12-21,Delay 30-60 mins,23
Oxford University Hospitals NHS Foundation Trust,South East of England Commissioning Region,RTH,2018-12-21,Delay 30-60 mins,0
Portsmouth Hospitals NHS Trust,South East of England Commissioning Region,RHU,2018-12-21,Delay 30-60 mins,1
Royal Berkshire NHS Foundation Trust,South East of England Commissioning Region,RHW,2018-12-21,Delay 30-60 mins,6
Royal Surrey County Hospital NHS Foundation Trust,South East of England Commissioning Region,RA2,2018-12-21,Delay 30-60 mins,5
Surrey and Sussex Healthcare NHS Trust,South East of England Commissioning Region,RTP,2018-12-21,Delay 30-60 mins,4
University Hospital Southampton NHS Foundation Trust,South East of England Commissioning Region,RHM,2018-12-21,Delay 30-60 mins,4
Western Sussex Hospitals NHS Foundation Trust,South East of England Commissioning Region,RYR,2018-12-21,Delay 30-60 mins,6
Dorset County Hospital NHS Foundation Trust,South West of England Commissioning Region,RBD,2018-12-21,Delay 30-60 mins,7
Gloucestershire Hospitals NHS Foundation Trust,South West of England Commissioning Region,RTE,2018-12-21,Delay 30-60 mins,6
Great Western Hospitals NHS Foundation Trust,South West of England Commissioning Region,RN3,2018-12-21,Delay 30-60 mins,3
North Bristol NHS Trust,South West of England Commissioning Region,RVJ,2018-12-21,Delay 30-60 mins,0
Northern Devon Healthcare NHS Trust,South West of England Commissioning Region,RBZ,2018-12-21,Delay 30-60 mins,2
Poole Hospital NHS Foundation Trust,South West of England Commissioning Region,RD3,2018-12-21,Delay 30-60 mins,0
Royal Cornwall Hospitals NHS Trust,South West of England Commissioning Region,REF,2018-12-21,Delay 30-60 mins,0
Royal Devon and Exeter NHS Foundation Trust,South West of England Commissioning Region,RH8,2018-12-21,Delay 30-60 mins,0
Royal United Hospitals Bath NHS Foundation Trust,South West of England Commissioning Region,RD1,2018-12-21,Delay 30-60 mins,2
Salisbury NHS Foundation Trust,South West of England Commissioning Region,RNZ,2018-12-21,Delay 30-60 mins,3
Taunton and Somerset NHS Foundation Trust,South West of England Commissioning Region,RBA,2018-12-21,Delay 30-60 mins,2
The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,South West of England Commissioning Region,RDZ,2018-12-21,Delay 30-60 mins,2
Torbay and South Devon NHS Foundation Trust,South West of England Commissioning Region,RA9,2018-12-21,Delay 30-60 mins,4
University Hospitals Bristol NHS Foundation Trust,South West of England Commissioning Region,RA7,2018-12-21,Delay 30-60 mins,0
University Hospitals Plymouth NHS Trust,South West of England Commissioning Region,RK9,2018-12-21,Delay 30-60 mins,2
Weston Area Health NHS Trust,South West of England Commissioning Region,RA3,2018-12-21,Delay 30-60 mins,8
Yeovil District Hospital NHS Foundation Trust,South West of England Commissioning Region,RA4,2018-12-21,Delay 30-60 mins,0
ENGLAND,NA,NA,2018-12-21,Delay >60 mins,269
"Barking, Havering and Redbridge University Hospitals NHS Trust",London Commissioning Region,RF4,2018-12-21,Delay >60 mins,0
Barts Health NHS Trust,London Commissioning Region,R1H,2018-12-21,Delay >60 mins,0
Chelsea and Westminster Hospital NHS Foundation Trust,London Commissioning Region,RQM,2018-12-21,Delay >60 mins,0
Croydon Health Services NHS Trust,London Commissioning Region,RJ6,2018-12-21,Delay >60 mins,0
Epsom and St Helier University Hospitals NHS Trust,London Commissioning Region,RVR,2018-12-21,Delay >60 mins,0
Guy's and St Thomas' NHS Foundation Trust,London Commissioning Region,RJ1,2018-12-21,Delay >60 mins,0
Homerton University Hospital NHS Foundation Trust,London Commissioning Region,RQX,2018-12-21,Delay >60 mins,0
Imperial College Healthcare NHS Trust,London Commissioning Region,RYJ,2018-12-21,Delay >60 mins,0
King's College Hospital NHS Foundation Trust,London Commissioning Region,RJZ,2018-12-21,Delay >60 mins,0
Kingston Hospital NHS Foundation Trust,London Commissioning Region,RAX,2018-12-21,Delay >60 mins,0
Lewisham and Greenwich NHS Trust,London Commissioning Region,RJ2,2018-12-21,Delay >60 mins,8
London North West University Healthcare NHS Trust,London Commissioning Region,R1K,2018-12-21,Delay >60 mins,0
North Middlesex University Hospital NHS Trust,London Commissioning Region,RAP,2018-12-21,Delay >60 mins,0
Royal Free London NHS Foundation Trust,London Commissioning Region,RAL,2018-12-21,Delay >60 mins,0
St George's University Hospitals NHS Foundation Trust,London Commissioning Region,RJ7,2018-12-21,Delay >60 mins,0
The Hillingdon Hospitals NHS Foundation Trust,London Commissioning Region,RAS,2018-12-21,Delay >60 mins,0
University College London Hospitals NHS Foundation Trust,London Commissioning Region,RRV,2018-12-21,Delay >60 mins,0
Whittington Health NHS Trust,London Commissioning Region,RKE,2018-12-21,Delay >60 mins,0
Basildon and Thurrock University Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RDD,2018-12-21,Delay >60 mins,0
Bedford Hospital NHS Trust,Midlands And East Of England Commissioning Region,RC1,2018-12-21,Delay >60 mins,0
Birmingham Women's and Children's NHS Foundation Trust,Midlands And East Of England Commissioning Region,RQ3,2018-12-21,Delay >60 mins,0
Cambridge University Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RGT,2018-12-21,Delay >60 mins,0
Chesterfield Royal Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RFS,2018-12-21,Delay >60 mins,0
East and North Hertfordshire NHS Trust,Midlands And East Of England Commissioning Region,RWH,2018-12-21,Delay >60 mins,3
East Suffolk and North Essex NHS Foundation Trust,Midlands And East Of England Commissioning Region,RDE,2018-12-21,Delay >60 mins,0
George Eliot Hospital NHS Trust,Midlands And East Of England Commissioning Region,RLT,2018-12-21,Delay >60 mins,1
James Paget University Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RGP,2018-12-21,Delay >60 mins,0
Kettering General Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RNQ,2018-12-21,Delay >60 mins,4
Luton and Dunstable University Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RC9,2018-12-21,Delay >60 mins,0
Mid Essex Hospital Services NHS Trust,Midlands And East Of England Commissioning Region,RQ8,2018-12-21,Delay >60 mins,4
Milton Keynes University Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RD8,2018-12-21,Delay >60 mins,0
Norfolk and Norwich University Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RM1,2018-12-21,Delay >60 mins,3
North West Anglia NHS Foundation Trust,Midlands And East Of England Commissioning Region,RGN,2018-12-21,Delay >60 mins,24
Northampton General Hospital NHS Trust,Midlands And East Of England Commissioning Region,RNS,2018-12-21,Delay >60 mins,1
Nottingham University Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RX1,2018-12-21,Delay >60 mins,0
Sandwell and West Birmingham Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RXK,2018-12-21,Delay >60 mins,1
Sherwood Forest Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RK5,2018-12-21,Delay >60 mins,0
Shrewsbury and Telford Hospital NHS Trust,Midlands And East Of England Commissioning Region,RXW,2018-12-21,Delay >60 mins,24
South Warwickshire NHS Foundation Trust,Midlands And East Of England Commissioning Region,RJC,2018-12-21,Delay >60 mins,0
Southend University Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RAJ,2018-12-21,Delay >60 mins,1
The Dudley Group NHS Foundation Trust,Midlands And East Of England Commissioning Region,RNA,2018-12-21,Delay >60 mins,1
The Princess Alexandra Hospital NHS Trust,Midlands And East Of England Commissioning Region,RQW,2018-12-21,Delay >60 mins,0
"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",Midlands And East Of England Commissioning Region,RCX,2018-12-21,Delay >60 mins,0
The Royal Wolverhampton NHS Trust,Midlands And East Of England Commissioning Region,RL4,2018-12-21,Delay >60 mins,0
United Lincolnshire Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RWD,2018-12-21,Delay >60 mins,13
University Hospitals Birmingham NHS Foundation Trust,Midlands And East Of England Commissioning Region,RRK,2018-12-21,Delay >60 mins,5
University Hospitals Coventry and Warwickshire NHS Trust,Midlands And East Of England Commissioning Region,RKB,2018-12-21,Delay >60 mins,1
University Hospitals of Derby and Burton NHS Foundation Trust,Midlands And East Of England Commissioning Region,RTG,2018-12-21,Delay >60 mins,0
University Hospitals of Leicester NHS Trust,Midlands And East Of England Commissioning Region,RWE,2018-12-21,Delay >60 mins,50
University Hospitals of North Midlands NHS Trust,Midlands And East Of England Commissioning Region,RJE,2018-12-21,Delay >60 mins,2
Walsall Healthcare NHS Trust,Midlands And East Of England Commissioning Region,RBK,2018-12-21,Delay >60 mins,0
West Hertfordshire Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RWG,2018-12-21,Delay >60 mins,1
West Suffolk NHS Foundation Trust,Midlands And East Of England Commissioning Region,RGR,2018-12-21,Delay >60 mins,0
Worcestershire Acute Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RWP,2018-12-21,Delay >60 mins,6
Wye Valley NHS Trust,Midlands And East Of England Commissioning Region,RLQ,2018-12-21,Delay >60 mins,0
Aintree University Hospital NHS Foundation Trust,North Of England Commissioning Region,REM,2018-12-21,Delay >60 mins,1
Airedale NHS Foundation Trust,North Of England Commissioning Region,RCF,2018-12-21,Delay >60 mins,0
Alder Hey Children's NHS Foundation Trust,North Of England Commissioning Region,RBS,2018-12-21,Delay >60 mins,0
Barnsley Hospital NHS Foundation Trust,North Of England Commissioning Region,RFF,2018-12-21,Delay >60 mins,0
Blackpool Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RXL,2018-12-21,Delay >60 mins,0
Bolton NHS Foundation Trust,North Of England Commissioning Region,RMC,2018-12-21,Delay >60 mins,0
Bradford Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RAE,2018-12-21,Delay >60 mins,8
Calderdale and Huddersfield NHS Foundation Trust,North Of England Commissioning Region,RWY,2018-12-21,Delay >60 mins,1
City Hospitals Sunderland NHS Foundation Trust,North Of England Commissioning Region,RLN,2018-12-21,Delay >60 mins,10
Countess of Chester Hospital NHS Foundation Trust,North Of England Commissioning Region,RJR,2018-12-21,Delay >60 mins,0
County Durham and Darlington NHS Foundation Trust,North Of England Commissioning Region,RXP,2018-12-21,Delay >60 mins,3
Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RP5,2018-12-21,Delay >60 mins,0
East Cheshire NHS Trust,North Of England Commissioning Region,RJN,2018-12-21,Delay >60 mins,0
East Lancashire Hospitals NHS Trust,North Of England Commissioning Region,RXR,2018-12-21,Delay >60 mins,0
Gateshead Health NHS Foundation Trust,North Of England Commissioning Region,RR7,2018-12-21,Delay >60 mins,0
Harrogate and District NHS Foundation Trust,North Of England Commissioning Region,RCD,2018-12-21,Delay >60 mins,0
Hull and East Yorkshire Hospitals NHS Trust,North Of England Commissioning Region,RWA,2018-12-21,Delay >60 mins,0
Lancashire Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RXN,2018-12-21,Delay >60 mins,0
Leeds Teaching Hospitals NHS Trust,North Of England Commissioning Region,RR8,2018-12-21,Delay >60 mins,0
Manchester University NHS Foundation Trust,North Of England Commissioning Region,R0A,2018-12-21,Delay >60 mins,0
Mid Cheshire Hospitals NHS Foundation Trust,North Of England Commissioning Region,RBT,2018-12-21,Delay >60 mins,0
Mid Yorkshire Hospitals NHS Trust,North Of England Commissioning Region,RXF,2018-12-21,Delay >60 mins,0
North Cumbria University Hospitals NHS Trust,North Of England Commissioning Region,RNL,2018-12-21,Delay >60 mins,5
North Tees and Hartlepool NHS Foundation Trust,North Of England Commissioning Region,RVW,2018-12-21,Delay >60 mins,0
Northern Lincolnshire and Goole NHS Foundation Trust,North Of England Commissioning Region,RJL,2018-12-21,Delay >60 mins,12
Northumbria Healthcare NHS Foundation Trust,North Of England Commissioning Region,RTF,2018-12-21,Delay >60 mins,5
Pennine Acute Hospitals NHS Trust,North Of England Commissioning Region,RW6,2018-12-21,Delay >60 mins,1
Royal Liverpool and Broadgreen University Hospitals NHS Trust,North Of England Commissioning Region,RQ6,2018-12-21,Delay >60 mins,1
Salford Royal NHS Foundation Trust,North Of England Commissioning Region,RM3,2018-12-21,Delay >60 mins,2
Sheffield Children's NHS Foundation Trust,North Of England Commissioning Region,RCU,2018-12-21,Delay >60 mins,0
Sheffield Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RHQ,2018-12-21,Delay >60 mins,0
South Tees Hospitals NHS Foundation Trust,North Of England Commissioning Region,RTR,2018-12-21,Delay >60 mins,0
South Tyneside NHS Foundation Trust,North Of England Commissioning Region,RE9,2018-12-21,Delay >60 mins,0
Southport and Ormskirk Hospital NHS Trust,North Of England Commissioning Region,RVY,2018-12-21,Delay >60 mins,0
St Helens and Knowsley Hospital Services NHS Trust,North Of England Commissioning Region,RBN,2018-12-21,Delay >60 mins,15
Stockport NHS Foundation Trust,North Of England Commissioning Region,RWJ,2018-12-21,Delay >60 mins,7
Tameside and Glossop Integrated Care NHS Foundation Trust,North Of England Commissioning Region,RMP,2018-12-21,Delay >60 mins,0
The Newcastle Upon Tyne Hospitals NHS Foundation Trust,North Of England Commissioning Region,RTD,2018-12-21,Delay >60 mins,1
The Rotherham NHS Foundation Trust,North Of England Commissioning Region,RFR,2018-12-21,Delay >60 mins,13
University Hospitals of Morecambe Bay NHS Foundation Trust,North Of England Commissioning Region,RTX,2018-12-21,Delay >60 mins,1
Warrington and Halton Hospitals NHS Foundation Trust,North Of England Commissioning Region,RWW,2018-12-21,Delay >60 mins,7
Wirral University Teaching Hospital NHS Foundation Trust,North Of England Commissioning Region,RBL,2018-12-21,Delay >60 mins,0
"Wrightington, Wigan and Leigh NHS Foundation Trust",North Of England Commissioning Region,RRF,2018-12-21,Delay >60 mins,0
York Teaching Hospital NHS Foundation Trust,North Of England Commissioning Region,RCB,2018-12-21,Delay >60 mins,11
Ashford and St Peter's Hospitals NHS Foundation Trust,South East of England Commissioning Region,RTK,2018-12-21,Delay >60 mins,0
Brighton and Sussex University Hospitals NHS Trust,South East of England Commissioning Region,RXH,2018-12-21,Delay >60 mins,6
Buckinghamshire Healthcare NHS Trust,South East of England Commissioning Region,RXQ,2018-12-21,Delay >60 mins,0
Dartford and Gravesham NHS Trust,South East of England Commissioning Region,RN7,2018-12-21,Delay >60 mins,0
East Kent Hospitals University NHS Foundation Trust,South East of England Commissioning Region,RVV,2018-12-21,Delay >60 mins,0
East Sussex Healthcare NHS Trust,South East of England Commissioning Region,RXC,2018-12-21,Delay >60 mins,0
Frimley Health NHS Foundation Trust,South East of England Commissioning Region,RDU,2018-12-21,Delay >60 mins,0
Hampshire Hospitals NHS Foundation Trust,South East of England Commissioning Region,RN5,2018-12-21,Delay >60 mins,0
Isle of Wight NHS Trust,South East of England Commissioning Region,R1F,2018-12-21,Delay >60 mins,0
Maidstone and Tunbridge Wells NHS Trust,South East of England Commissioning Region,RWF,2018-12-21,Delay >60 mins,2
Medway NHS Foundation Trust,South East of England Commissioning Region,RPA,2018-12-21,Delay >60 mins,3
Oxford University Hospitals NHS Foundation Trust,South East of England Commissioning Region,RTH,2018-12-21,Delay >60 mins,0
Portsmouth Hospitals NHS Trust,South East of England Commissioning Region,RHU,2018-12-21,Delay >60 mins,0
Royal Berkshire NHS Foundation Trust,South East of England Commissioning Region,RHW,2018-12-21,Delay >60 mins,0
Royal Surrey County Hospital NHS Foundation Trust,South East of England Commissioning Region,RA2,2018-12-21,Delay >60 mins,0
Surrey and Sussex Healthcare NHS Trust,South East of England Commissioning Region,RTP,2018-12-21,Delay >60 mins,0
University Hospital Southampton NHS Foundation Trust,South East of England Commissioning Region,RHM,2018-12-21,Delay >60 mins,0
Western Sussex Hospitals NHS Foundation Trust,South East of England Commissioning Region,RYR,2018-12-21,Delay >60 mins,0
Dorset County Hospital NHS Foundation Trust,South West of England Commissioning Region,RBD,2018-12-21,Delay >60 mins,1
Gloucestershire Hospitals NHS Foundation Trust,South West of England Commissioning Region,RTE,2018-12-21,Delay >60 mins,0
Great Western Hospitals NHS Foundation Trust,South West of England Commissioning Region,RN3,2018-12-21,Delay >60 mins,0
North Bristol NHS Trust,South West of England Commissioning Region,RVJ,2018-12-21,Delay >60 mins,0
Northern Devon Healthcare NHS Trust,South West of England Commissioning Region,RBZ,2018-12-21,Delay >60 mins,0
Poole Hospital NHS Foundation Trust,South West of England Commissioning Region,RD3,2018-12-21,Delay >60 mins,0
Royal Cornwall Hospitals NHS Trust,South West of England Commissioning Region,REF,2018-12-21,Delay >60 mins,0
Royal Devon and Exeter NHS Foundation Trust,South West of England Commissioning Region,RH8,2018-12-21,Delay >60 mins,0
Royal United Hospitals Bath NHS Foundation Trust,South West of England Commissioning Region,RD1,2018-12-21,Delay >60 mins,0
Salisbury NHS Foundation Trust,South West of England Commissioning Region,RNZ,2018-12-21,Delay >60 mins,0
Taunton and Somerset NHS Foundation Trust,South West of England Commissioning Region,RBA,2018-12-21,Delay >60 mins,0
The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,South West of England Commissioning Region,RDZ,2018-12-21,Delay >60 mins,0
Torbay and South Devon NHS Foundation Trust,South West of England Commissioning Region,RA9,2018-12-21,Delay >60 mins,0
University Hospitals Bristol NHS Foundation Trust,South West of England Commissioning Region,RA7,2018-12-21,Delay >60 mins,0
University Hospitals Plymouth NHS Trust,South West of England Commissioning Region,RK9,2018-12-21,Delay >60 mins,0
Weston Area Health NHS Trust,South West of England Commissioning Region,RA3,2018-12-21,Delay >60 mins,0
Yeovil District Hospital NHS Foundation Trust,South West of England Commissioning Region,RA4,2018-12-21,Delay >60 mins,0
ENGLAND,NA,NA,2018-12-22,Arriving by ambulance,14729
"Barking, Havering and Redbridge University Hospitals NHS Trust",London Commissioning Region,RF4,2018-12-22,Arriving by ambulance,197
Barts Health NHS Trust,London Commissioning Region,R1H,2018-12-22,Arriving by ambulance,302
Chelsea and Westminster Hospital NHS Foundation Trust,London Commissioning Region,RQM,2018-12-22,Arriving by ambulance,136
Croydon Health Services NHS Trust,London Commissioning Region,RJ6,2018-12-22,Arriving by ambulance,101
Epsom and St Helier University Hospitals NHS Trust,London Commissioning Region,RVR,2018-12-22,Arriving by ambulance,89
Guy's and St Thomas' NHS Foundation Trust,London Commissioning Region,RJ1,2018-12-22,Arriving by ambulance,123
Homerton University Hospital NHS Foundation Trust,London Commissioning Region,RQX,2018-12-22,Arriving by ambulance,54
Imperial College Healthcare NHS Trust,London Commissioning Region,RYJ,2018-12-22,Arriving by ambulance,153
King's College Hospital NHS Foundation Trust,London Commissioning Region,RJZ,2018-12-22,Arriving by ambulance,202
Kingston Hospital NHS Foundation Trust,London Commissioning Region,RAX,2018-12-22,Arriving by ambulance,63
Lewisham and Greenwich NHS Trust,London Commissioning Region,RJ2,2018-12-22,Arriving by ambulance,169
London North West University Healthcare NHS Trust,London Commissioning Region,R1K,2018-12-22,Arriving by ambulance,190
North Middlesex University Hospital NHS Trust,London Commissioning Region,RAP,2018-12-22,Arriving by ambulance,131
Royal Free London NHS Foundation Trust,London Commissioning Region,RAL,2018-12-22,Arriving by ambulance,150
St George's University Hospitals NHS Foundation Trust,London Commissioning Region,RJ7,2018-12-22,Arriving by ambulance,123
The Hillingdon Hospitals NHS Foundation Trust,London Commissioning Region,RAS,2018-12-22,Arriving by ambulance,77
University College London Hospitals NHS Foundation Trust,London Commissioning Region,RRV,2018-12-22,Arriving by ambulance,76
Whittington Health NHS Trust,London Commissioning Region,RKE,2018-12-22,Arriving by ambulance,56
Basildon and Thurrock University Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RDD,2018-12-22,Arriving by ambulance,85
Bedford Hospital NHS Trust,Midlands And East Of England Commissioning Region,RC1,2018-12-22,Arriving by ambulance,63
Birmingham Women's and Children's NHS Foundation Trust,Midlands And East Of England Commissioning Region,RQ3,2018-12-22,Arriving by ambulance,27
Cambridge University Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RGT,2018-12-22,Arriving by ambulance,112
Chesterfield Royal Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RFS,2018-12-22,Arriving by ambulance,86
East and North Hertfordshire NHS Trust,Midlands And East Of England Commissioning Region,RWH,2018-12-22,Arriving by ambulance,109
East Suffolk and North Essex NHS Foundation Trust,Midlands And East Of England Commissioning Region,RDE,2018-12-22,Arriving by ambulance,211
George Eliot Hospital NHS Trust,Midlands And East Of England Commissioning Region,RLT,2018-12-22,Arriving by ambulance,40
James Paget University Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RGP,2018-12-22,Arriving by ambulance,89
Kettering General Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RNQ,2018-12-22,Arriving by ambulance,97
Luton and Dunstable University Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RC9,2018-12-22,Arriving by ambulance,107
Mid Essex Hospital Services NHS Trust,Midlands And East Of England Commissioning Region,RQ8,2018-12-22,Arriving by ambulance,99
Milton Keynes University Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RD8,2018-12-22,Arriving by ambulance,75
Norfolk and Norwich University Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RM1,2018-12-22,Arriving by ambulance,137
North West Anglia NHS Foundation Trust,Midlands And East Of England Commissioning Region,RGN,2018-12-22,Arriving by ambulance,147
Northampton General Hospital NHS Trust,Midlands And East Of England Commissioning Region,RNS,2018-12-22,Arriving by ambulance,120
Nottingham University Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RX1,2018-12-22,Arriving by ambulance,187
Sandwell and West Birmingham Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RXK,2018-12-22,Arriving by ambulance,182
Sherwood Forest Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RK5,2018-12-22,Arriving by ambulance,119
Shrewsbury and Telford Hospital NHS Trust,Midlands And East Of England Commissioning Region,RXW,2018-12-22,Arriving by ambulance,140
South Warwickshire NHS Foundation Trust,Midlands And East Of England Commissioning Region,RJC,2018-12-22,Arriving by ambulance,56
Southend University Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RAJ,2018-12-22,Arriving by ambulance,100
The Dudley Group NHS Foundation Trust,Midlands And East Of England Commissioning Region,RNA,2018-12-22,Arriving by ambulance,105
The Princess Alexandra Hospital NHS Trust,Midlands And East Of England Commissioning Region,RQW,2018-12-22,Arriving by ambulance,61
"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",Midlands And East Of England Commissioning Region,RCX,2018-12-22,Arriving by ambulance,63
The Royal Wolverhampton NHS Trust,Midlands And East Of England Commissioning Region,RL4,2018-12-22,Arriving by ambulance,147
United Lincolnshire Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RWD,2018-12-22,Arriving by ambulance,154
University Hospitals Birmingham NHS Foundation Trust,Midlands And East Of England Commissioning Region,RRK,2018-12-22,Arriving by ambulance,389
University Hospitals Coventry and Warwickshire NHS Trust,Midlands And East Of England Commissioning Region,RKB,2018-12-22,Arriving by ambulance,151
University Hospitals of Derby and Burton NHS Foundation Trust,Midlands And East Of England Commissioning Region,RTG,2018-12-22,Arriving by ambulance,211
University Hospitals of Leicester NHS Trust,Midlands And East Of England Commissioning Region,RWE,2018-12-22,Arriving by ambulance,170
University Hospitals of North Midlands NHS Trust,Midlands And East Of England Commissioning Region,RJE,2018-12-22,Arriving by ambulance,250
Walsall Healthcare NHS Trust,Midlands And East Of England Commissioning Region,RBK,2018-12-22,Arriving by ambulance,98
West Hertfordshire Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RWG,2018-12-22,Arriving by ambulance,87
West Suffolk NHS Foundation Trust,Midlands And East Of England Commissioning Region,RGR,2018-12-22,Arriving by ambulance,72
Worcestershire Acute Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RWP,2018-12-22,Arriving by ambulance,163
Wye Valley NHS Trust,Midlands And East Of England Commissioning Region,RLQ,2018-12-22,Arriving by ambulance,58
Aintree University Hospital NHS Foundation Trust,North Of England Commissioning Region,REM,2018-12-22,Arriving by ambulance,90
Airedale NHS Foundation Trust,North Of England Commissioning Region,RCF,2018-12-22,Arriving by ambulance,43
Alder Hey Children's NHS Foundation Trust,North Of England Commissioning Region,RBS,2018-12-22,Arriving by ambulance,18
Barnsley Hospital NHS Foundation Trust,North Of England Commissioning Region,RFF,2018-12-22,Arriving by ambulance,83
Blackpool Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RXL,2018-12-22,Arriving by ambulance,108
Bolton NHS Foundation Trust,North Of England Commissioning Region,RMC,2018-12-22,Arriving by ambulance,80
Bradford Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RAE,2018-12-22,Arriving by ambulance,116
Calderdale and Huddersfield NHS Foundation Trust,North Of England Commissioning Region,RWY,2018-12-22,Arriving by ambulance,99
City Hospitals Sunderland NHS Foundation Trust,North Of England Commissioning Region,RLN,2018-12-22,Arriving by ambulance,112
Countess of Chester Hospital NHS Foundation Trust,North Of England Commissioning Region,RJR,2018-12-22,Arriving by ambulance,0
County Durham and Darlington NHS Foundation Trust,North Of England Commissioning Region,RXP,2018-12-22,Arriving by ambulance,151
Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RP5,2018-12-22,Arriving by ambulance,154
East Cheshire NHS Trust,North Of England Commissioning Region,RJN,2018-12-22,Arriving by ambulance,43
East Lancashire Hospitals NHS Trust,North Of England Commissioning Region,RXR,2018-12-22,Arriving by ambulance,134
Gateshead Health NHS Foundation Trust,North Of England Commissioning Region,RR7,2018-12-22,Arriving by ambulance,68
Harrogate and District NHS Foundation Trust,North Of England Commissioning Region,RCD,2018-12-22,Arriving by ambulance,49
Hull and East Yorkshire Hospitals NHS Trust,North Of England Commissioning Region,RWA,2018-12-22,Arriving by ambulance,167
Lancashire Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RXN,2018-12-22,Arriving by ambulance,115
Leeds Teaching Hospitals NHS Trust,North Of England Commissioning Region,RR8,2018-12-22,Arriving by ambulance,199
Manchester University NHS Foundation Trust,North Of England Commissioning Region,R0A,2018-12-22,Arriving by ambulance,193
Mid Cheshire Hospitals NHS Foundation Trust,North Of England Commissioning Region,RBT,2018-12-22,Arriving by ambulance,60
Mid Yorkshire Hospitals NHS Trust,North Of England Commissioning Region,RXF,2018-12-22,Arriving by ambulance,130
North Cumbria University Hospitals NHS Trust,North Of England Commissioning Region,RNL,2018-12-22,Arriving by ambulance,107
North Tees and Hartlepool NHS Foundation Trust,North Of England Commissioning Region,RVW,2018-12-22,Arriving by ambulance,64
Northern Lincolnshire and Goole NHS Foundation Trust,North Of England Commissioning Region,RJL,2018-12-22,Arriving by ambulance,126
